"provinsi","kabupaten","id"
SULAWESI SELATAN,TORAJA UTARA,"286"
MALUKU UTARA,KEPULAUAN SULA,"287"
SULAWESI BARAT,MAMASA,"288"
ACEH,SABANG,"289"
NUSA TENGGARA TIMUR,MANGGARAI TIMUR,"290"
RIAU,ROKAN HILIR,"291"
SULAWESI SELATAN,LUWU,"292"
JAWA BARAT,INDRAMAYU,"293"
JAWA TENGAH,JEPARA,"294"
JAWA TENGAH,BLORA,"295"
PAPUA,KEPULAUAN YAPEN,"296"
SUMATERA SELATAN,LAHAT,"297"
SUMATERA BARAT,DANAU,"298"
SUMATERA UTARA,HUMBANG HASUNDUTAN,"299"
JAWA TENGAH,HUTAN,"300"
SUMATERA BARAT,TANAH DATAR,"301"
SULAWESI TENGGARA,BUTON SELATAN,"302"
SUMATERA UTARA,LABUHAN BATU,"303"
PAPUA,PEGUNUNGAN BINTANG,"304"
KALIMANTAN TENGAH,BARITO TIMUR,"305"
SUMATERA UTARA,BINJAI,"306"
DAERAH ISTIMEWA YOGYAKARTA,GUNUNG KIDUL,"307"
ACEH,ACEH TENGGARA,"308"
JAWA TENGAH,PEKALONGAN,"309"
ACEH,ACEH BESAR,"310"
RIAU,KAMPAR,"311"
DKI JAKARTA,JAKARTA BARAT,"312"
SUMATERA BARAT,DHARMASRAYA,"313"
SULAWESI TENGGARA,BUTON TENGAH,"314"
JAWA TIMUR,NGAWI,"315"
SULAWESI UTARA,DANAU,"316"
GORONTALO,POHUWATO,"317"
JAWA TENGAH,MAGELANG,"318"
PAPUA BARAT,RAJA AMPAT,"319"
SUMATERA SELATAN,PALEMBANG,"320"
SUMATERA SELATAN,PENUKAL ABAB LEMATANG ILIR,"321"
SULAWESI SELATAN,PINRANG,"322"
ACEH,ACEH UTARA,"323"
JAWA BARAT,SUKABUMI,"324"
JAWA TENGAH,REMBANG,"325"
PAPUA,WAROPEN,"326"
JAMBI,BATANG HARI,"327"
LAMPUNG,METRO,"328"
SUMATERA BARAT,PADANG,"329"
PAPUA,PUNCAK,"330"
JAWA TIMUR,BANYUWANGI,"331"
KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,"332"
PAPUA,PUNCAK JAYA,"333"
KALIMANTAN TENGAH,KAPUAS,"334"
ACEH,SIMEULUE,"335"
LAMPUNG,BANDAR LAMPUNG,"336"
PAPUA BARAT,KAIMANA,"337"
BANTEN,LEBAK,"338"
SUMATERA SELATAN,OGAN KOMERING ULU TIMUR,"339"
SUMATERA UTARA,SIBOLGA,"340"
JAWA TENGAH,BANYUMAS,"341"
KALIMANTAN UTARA,MALINAU,"342"
JAWA TIMUR,SAMPANG,"343"
BANTEN,TANGERANG,"344"
SUMATERA BARAT,BUKITTINGGI,"345"
PAPUA BARAT,TELUK BINTUNI,"346"
ACEH,LANGSA,"347"
KALIMANTAN TENGAH,SERUYAN,"348"
SUMATERA UTARA,PADANG LAWAS,"349"
SULAWESI TENGGARA,BUTON UTARA,"350"
PAPUA,KEEROM,"351"
KALIMANTAN BARAT,BENGKAYANG,"353"
JAMBI,SUNGAI PENUH,"354"
PAPUA BARAT,TAMBRAUW,"355"
NUSA TENGGARA TIMUR,LEMBATA,"356"
JAWA TIMUR,SIDOARJO,"357"
SULAWESI UTARA,MINAHASA,"358"
KALIMANTAN TENGAH,SUKAMARA,"359"
JAWA TIMUR,SITUBONDO,"360"
BALI,TABANAN,"361"
SUMATERA BARAT,PASAMAN BARAT,"362"
BENGKULU,KEPAHIANG,"363"
SULAWESI TENGAH,MOROWALI UTARA,"364"
DAERAH ISTIMEWA YOGYAKARTA,KULON PROGO,"365"
ACEH,BENER MERIAH,"366"
KALIMANTAN SELATAN,TAPIN,"367"
JAWA TENGAH,GROBOGAN,"368"
BENGKULU,BENGKULU,"369"
KALIMANTAN UTARA,BULUNGAN,"370"
SUMATERA UTARA,DAIRI,"371"
SULAWESI TENGAH,DONGGALA,"372"
KALIMANTAN SELATAN,KOTA BARU,"373"
ACEH,ACEH JAYA,"374"
SUMATERA BARAT,PESISIR SELATAN,"375"
JAWA TIMUR,KEDIRI,"376"
KEPULAUAN RIAU,LINGGA,"377"
KALIMANTAN TENGAH,MURUNG RAYA,"378"
JAMBI,TANJUNG JABUNG TIMUR,"379"
JAWA TENGAH,BANJARNEGARA,"380"
KALIMANTAN TENGAH,KATINGAN,"381"
MALUKU,BURU,"382"
JAWA TIMUR,GRESIK,"383"
JAMBI,MERANGIN,"384"
SULAWESI BARAT,MAMUJU TENGAH,"385"
SULAWESI TENGAH,BANGGAI,"386"
SUMATERA UTARA,TEBING TINGGI,"387"
SULAWESI TENGGARA,MUNA,"388"
SULAWESI SELATAN,BARRU,"389"
MALUKU,SERAM BAGIAN BARAT,"390"
JAWA TIMUR,LUMAJANG,"391"
KALIMANTAN BARAT,PONTIANAK,"392"
SULAWESI SELATAN,JENEPONTO,"393"
JAWA TENGAH,SALATIGA,"394"
JAWA BARAT,TASIKMALAYA,"395"
MALUKU UTARA,HALMAHERA UTARA,"396"
PAPUA,YAHUKIMO,"397"
JAWA TENGAH,TEMANGGUNG,"398"
BALI,JEMBRANA,"399"
KEPULAUAN RIAU,NATUNA,"400"
KEPULAUAN RIAU,KARIMUN,"401"
SULAWESI TENGGARA,MUNA BARAT,"402"
KALIMANTAN BARAT,MELAWI,"403"
KEPULAUAN BANGKA BELITUNG,BANGKA,"404"
ACEH,SUBULUSSALAM,"405"
NUSA TENGGARA TIMUR,SUMBA BARAT,"406"
NUSA TENGGARA TIMUR,NGADA,"407"
SULAWESI BARAT,POLEWALI MANDAR,"408"
SUMATERA UTARA,ASAHAN,"409"
KALIMANTAN BARAT,KAPUAS HULU,"410"
SULAWESI UTARA,BOLAANG MONGONDOW SELATAN,"411"
RIAU,ROKAN HULU,"412"
PAPUA,ASMAT,"413"
SULAWESI UTARA,MANADO,"414"
JAWA TENGAH,WONOSOBO,"415"
NUSA TENGGARA TIMUR,SUMBA BARAT DAYA,"416"
MALUKU UTARA,TERNATE,"417"
SULAWESI TENGAH,BANGGAI LAUT,"418"
NUSA TENGGARA TIMUR,ENDE,"419"
KALIMANTAN TENGAH,LAMANDAU,"420"
LAMPUNG,PRINGSEWU,"421"
PAPUA,BOVEN DIGOEL,"422"
ACEH,ACEH BARAT DAYA,"423"
SULAWESI UTARA,BITUNG,"424"
KALIMANTAN SELATAN,BANJAR,"425"
MALUKU,MALUKU BARAT DAYA,"426"
SUMATERA UTARA,LABUHAN BATU UTARA,"427"
LAMPUNG,LAMPUNG SELATAN,"428"
JAWA TIMUR,BONDOWOSO,"429"
NUSA TENGGARA TIMUR,MANGGARAI BARAT,"430"
ACEH,NAGAN RAYA,"431"
KALIMANTAN BARAT,SEKADAU,"432"
PAPUA,DEIYAI,"433"
JAWA TIMUR,MOJOKERTO,"434"
SUMATERA BARAT,SAWAH LUNTO,"435"
BENGKULU,KAUR,"436"
JAMBI,SAROLANGUN,"437"
SUMATERA BARAT,PASAMAN,"438"
KALIMANTAN UTARA,TANA TIDUNG,"439"
JAWA BARAT,CIAMIS,"440"
NUSA TENGGARA BARAT,SUMBAWA BARAT,"441"
SULAWESI SELATAN,BANTAENG,"442"
NUSA TENGGARA TIMUR,MANGGARAI,"443"
NUSA TENGGARA BARAT,LOMBOK TENGAH,"444"
NUSA TENGGARA BARAT,DOMPU,"445"
SULAWESI TENGGARA,WAKATOBI,"446"
JAWA BARAT,CIREBON,"447"
SULAWESI SELATAN,PANGKAJENE DAN KEPULAUAN,"448"
MALUKU,BURU SELATAN,"449"
ACEH,LHOKSEUMAWE,"450"
NUSA TENGGARA BARAT,SUMBAWA,"451"
JAWA BARAT,BEKASI,"452"
SUMATERA BARAT,SOLOK SELATAN,"453"
SUMATERA UTARA,TANJUNG BALAI,"454"
KALIMANTAN TIMUR,BONTANG,"455"
JAWA BARAT,SUMEDANG,"456"
JAWA BARAT,SUBANG,"457"
SULAWESI SELATAN,KEPULAUAN SELAYAR,"458"
SUMATERA SELATAN,EMPAT LAWANG,"459"
SULAWESI UTARA,MINAHASA TENGGARA,"460"
SUMATERA SELATAN,BANYU ASIN,"461"
SULAWESI UTARA,MINAHASA UTARA,"462"
ACEH,ACEH TAMIANG,"463"
LAMPUNG,MESUJI,"464"
JAWA TENGAH,KLATEN,"465"
JAWA TIMUR,PROBOLINGGO,"466"
KALIMANTAN TENGAH,PULANG PISAU,"467"
NUSA TENGGARA TIMUR,KUPANG,"468"
ACEH,BANDA ACEH,"469"
SUMATERA SELATAN,OGAN KOMERING ULU SELATAN,"470"
BALI,KLUNGKUNG,"471"
GORONTALO,BOALEMO,"472"
JAWA TIMUR,NGANJUK,"473"
SULAWESI UTARA,KOTAMOBAGU,"474"
JAWA TIMUR,SURABAYA,"475"
KALIMANTAN TENGAH,BARITO SELATAN,"476"
SULAWESI TENGGARA,KONAWE UTARA,"477"
