"id","provinsi","kabupaten","kecamatan","id_kabupaten"
"5993",SULAWESI TENGGARA,MUNA,LOHIA,"388"
"5994",MALUKU,SERAM BAGIAN TIMUR,PULAU PANJANG,"277"
"5995",NUSA TENGGARA TIMUR,ROTE NDAO,LOBALAIN,"480"
"5996",JAWA BARAT,CIANJUR,CIKALONGKULON,"188"
"5997",NUSA TENGGARA TIMUR,KUPANG,SEMAU,"468"
"5998",DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,"256"
"5999",KALIMANTAN BARAT,SINTANG,KETUNGAU TENGAH,"7"
"6000",SUMATERA SELATAN,OGAN KOMERING ULU SELATAN,BANDING AGUNG,"470"
"6001",SUMATERA UTARA,NIAS SELATAN,HURUNA,"77"
"6002",KEPULAUAN RIAU,NATUNA,MIDAI,"400"
"6003",ACEH,BIREUEN,JEUMPA,"194"
"6004",SULAWESI TENGAH,BANGGAI,MOILONG,"386"
"6005",KALIMANTAN TENGAH,PULANG PISAU,SEBANGAU KUALA,"467"
"6006",SULAWESI TENGAH,TOJO UNA-UNA,WALEA KEPULAUAN,"171"
"34",SULAWESI SELATAN,TORAJA UTARA,RINDINGALO,"286"
"6007",JAWA TENGAH,TEMANGGUNG,KRANGGAN,"398"
"6008",RIAU,KUANTAN SINGINGI,KUANTAN HILIR,"93"
"6009",SULAWESI UTARA,BOLAANG MONGONDOW SELATAN,BOLANG UKI,"411"
"6010",BENGKULU,SELUMA,TALO,"63"
"6011",JAWA TENGAH,REMBANG,SLUKE,"325"
"6012",PAPUA,YAHUKIMO,KONA,"397"
"6013",MALUKU,BURU,FENA LEISELA,"382"
"6014",MALUKU UTARA,HALMAHERA SELATAN,OBI BARAT,"97"
"6015",PAPUA BARAT,MANOKWARI SELATAN,NENEI,"197"
"6016",RIAU,S I A K,SUNGAI MANDAU,"42"
"6017",SULAWESI TENGAH,DONGGALA,SINDUE TOBATA,"372"
"6018",KALIMANTAN SELATAN,HULU SUNGAI UTARA,BANJANG,"90"
"6019",SULAWESI SELATAN,TANA TORAJA,SIMBUANG,"239"
"6020",SUMATERA BARAT,PESISIR SELATAN,RANAH PESISIR,"375"
"6021",KALIMANTAN TIMUR,SAMARINDA,SUNGAI PINANG,"105"
"6022",SUMATERA SELATAN,OGAN KOMERING ULU TIMUR,MADANG SUKU III,"339"
"6023",JAWA TIMUR,LAMONGAN,BRONDONG,"94"
"6024",JAWA BARAT,KARAWANG,BANYUSARI,"236"
"6025",SUMATERA UTARA,BATU BARA,LAUT TADOR,"117"
"6026",MALUKU,MALUKU TENGGARA,KEI KECIL TIMUR SELATAN,"157"
"6027",JAWA BARAT,TASIKMALAYA,CIHIDEUNG,"395"
"6028",NUSA TENGGARA TIMUR,ENDE,PULAU ENDE,"419"
"6029",JAMBI,KERINCI,KELILING DANAU,"179"
"6030",MALUKU,BURU SELATAN,FENA FAFAN,"449"
"6031",GORONTALO,GORONTALO,KOTA TIMUR,"53"
"6032",JAWA TIMUR,TUBAN,PARENGAN,"113"
"6033",SUMATERA SELATAN,OGAN KOMERING ULU SELATAN,BUAY RUNJUNG,"470"
"6034",SUMATERA UTARA,BATU BARA,SEI SUKA,"117"
"6035",SULAWESI TENGGARA,BUTON SELATAN,SIOMPU BARAT,"302"
"6036",NUSA TENGGARA TIMUR,LEMBATA,BUYASARI,"356"
"6037",PAPUA,SUPIORI,KEPULAUAN ARURI,"89"
"6038",KALIMANTAN BARAT,MEMPAWAH,SUNGAI PINYUH,"150"
"6039",JAWA TENGAH,GROBOGAN,NGARINGAN,"368"
"6040",SULAWESI TENGAH,DONGGALA,SINDUE,"372"
"6041",KALIMANTAN SELATAN,TANAH BUMBU,KARANG BINTANG,"31"
"6042",MALUKU UTARA,HALMAHERA BARAT,SAHU TIMUR,"71"
"6043",SUMATERA UTARA,ASAHAN,RAHUNING,"409"
"6044",KEPULAUAN BANGKA BELITUNG,BELITUNG,MEMBALONG,"73"
"6045",PAPUA,INTAN JAYA,AGISIGA,"33"
"6046",PAPUA,BIAK NUMFOR,ORKERI,"229"
"6047",KALIMANTAN UTARA,BULUNGAN,BUNYU,"370"
"6048",BANTEN,SERANG,PONTANG,"198"
"6049",JAWA TENGAH,SRAGEN,SRAGEN,"62"
"6050",PAPUA,JAYAPURA,MUARA TAMI,"115"
"6051",SULAWESI SELATAN,TANA TORAJA,SANGALA SELATAN,"239"
"6052",PAPUA,TOLIKARA,BEWANI,"141"
"6053",SULAWESI UTARA,MINAHASA UTARA,LIKUPANG TIMUR,"462"
"6054",JAMBI,TANJUNG JABUNG BARAT,KUALA BETARA,"156"
"6055",JAMBI,JAMBI,ALAM BARAJO,"275"
"6056",NUSA TENGGARA BARAT,SUMBAWA BARAT,MALUK,"441"
"6057",DAERAH ISTIMEWA YOGYAKARTA,YOGYAKARTA,WIROBRAJAN,"279"
"6058",JAWA BARAT,CIANJUR,KADUPANDAK,"188"
"6059",JAWA BARAT,TASIKMALAYA,CINEAM,"395"
"6060",ACEH,ACEH BARAT,WOYLA,"482"
"6061",JAMBI,MUARO JAMBI,SUNGAI GELAM,"8"
"6062",SULAWESI TENGGARA,BOMBANA,TONTONUNU,"92"
"6063",JAWA BARAT,BANDUNG BARAT,PADALARANG,"187"
"6064",JAWA BARAT,CIANJUR,CIRANJANG,"188"
"6065",SUMATERA SELATAN,OGAN KOMERING ILIR,AIR SUGIHAN,"238"
"6066",NUSA TENGGARA BARAT,LOMBOK BARAT,LEMBAR,"495"
"6067",JAWA TENGAH,PEMALANG,PETARUKAN,"177"
"6068",LAMPUNG,LAMPUNG TENGAH,BANDAR SURABAYA,"13"
"6069",PAPUA BARAT,SORONG,MAYAMUK,"55"
"6070",PAPUA,MERAUKE,TABONJI,"274"
"6071",JAMBI,KERINCI,AIR HANGAT,"179"
"6072",NUSA TENGGARA TIMUR,SIKKA,KEWAPANTE,"170"
"6073",JAWA TENGAH,GROBOGAN,BRATI,"368"
"6074",KEPULAUAN BANGKA BELITUNG,BELITUNG,BADAU,"73"
"6075",KALIMANTAN BARAT,SAMBAS,SUBAH,"121"
"6076",KALIMANTAN BARAT,MELAWI,TANAH PINOH,"403"
"6077",PAPUA,PANIAI,PANIAI BARAT,"122"
"6078",JAWA TIMUR,MALANG,PONCOKUSUMO,"39"
"6079",KALIMANTAN SELATAN,BANJAR,TELAGA BAUNTUNG,"425"
"6080",BANTEN,SERANG,CIKANDE,"198"
"6081",SULAWESI TENGAH,BUOL,TILOAN,"45"
"6082",KALIMANTAN BARAT,KUBU RAYA,SUNGAI RAYA,"36"
"6083",BENGKULU,MUKOMUKO,AIR DIKIT,"135"
"6084",SUMATERA UTARA,SIMALUNGUN,PEMATANG BANDAR,"258"
"6085",PAPUA,JAYAPURA,UNURUM GUAY,"115"
"6086",NUSA TENGGARA BARAT,LOMBOK TENGAH,PUJUT,"444"
"6087",KEPULAUAN RIAU,KARIMUN,BELAT,"401"
"6088",NUSA TENGGARA TIMUR,ENDE,WOLOJITA,"419"
"6089",LAMPUNG,PESAWARAN,NEGERI KATON,"278"
"6090",DAERAH ISTIMEWA YOGYAKARTA,KULON PROGO,LENDAH,"365"
"6203",ACEH,ACEH BARAT DAYA,SETIA,"423"
"6091",JAWA BARAT,TASIKMALAYA,RAJAPOLAH,"395"
"6092",JAWA TIMUR,MOJOKERTO,SOOKO,"434"
"6093",SULAWESI TENGAH,TOJO UNA-UNA,ULUBONGKA,"171"
"6094",JAWA BARAT,BANDUNG,CANGKUANG,"224"
"6095",JAWA BARAT,GARUT,TAROGONG KALER,"175"
"6096",SULAWESI TENGAH,PARIGI MOUTONG,SINIU,"163"
"6097",KEPULAUAN RIAU,BINTAN,TOAPAYA,"352"
"6098",MALUKU UTARA,HALMAHERA TIMUR,KOTA MABA,"199"
"6099",BALI,TABANAN,SELEMADEG BARAT,"361"
"6100",PAPUA,KEPULAUAN YAPEN,WINDESI,"296"
"6101",NUSA TENGGARA BARAT,LOMBOK TIMUR,MASBAGIK,"193"
"6102",NUSA TENGGARA BARAT,LOMBOK TENGAH,PRAYA BARAT,"444"
"6103",JAWA TIMUR,SIDOARJO,KRIAN,"357"
"6104",BANTEN,SERANG,PAMARAYAN,"198"
"6105",JAWA BARAT,SUKABUMI,CIREUNGHAS,"324"
"6106",JAWA BARAT,TASIKMALAYA,PARUNGPONTENG,"395"
"6107",JAMBI,MERANGIN,TABIR TIMUR,"384"
"6108",PAPUA,YAHUKIMO,SILIMO,"397"
"6109",SULAWESI TENGAH,DONGGALA,RIO PAKAVA,"372"
"6110",JAWA BARAT,SUKABUMI,LENGKONG,"324"
"6111",SULAWESI SELATAN,SIDENRENG RAPPANG,KULO,"78"
"6112",NUSA TENGGARA TIMUR,BELU,NANAET DUBESI,"207"
"6113",SUMATERA BARAT,PESISIR SELATAN,IV JURAI,"375"
"6114",SUMATERA SELATAN,MUSI BANYUASIN,TUNGKAL JAYA,"54"
"6115",PAPUA,YAHUKIMO,HOLUWON,"397"
"6116",PAPUA,PEGUNUNGAN BINTANG,OK BAPE,"304"
"6117",LAMPUNG,TULANG BAWANG BARAT,TUMI JAJAR,"478"
"6118",SUMATERA BARAT,SOLOK,LEMBAH GUMANTI,"76"
"6119",JAWA TIMUR,PACITAN,BANDAR,"232"
"6120",SULAWESI SELATAN,LUWU UTARA,MAPPEDECENG,"213"
"6121",ACEH,NAGAN RAYA,KUALA,"431"
"6122",SULAWESI UTARA,BOLAANG MONGONDOW,DUMOGA,"30"
"6123",SULAWESI TENGGARA,KONAWE,ANGGOTOA,"174"
"6124",JAWA BARAT,CIREBON,KEJAKSAN,"447"
"6125",SULAWESI TENGGARA,KONAWE SELATAN,LANDONO,"28"
"6126",JAWA TIMUR,SAMPANG,OMBEN,"343"
"6127",RIAU,KUANTAN SINGINGI,GUNUNG TOAR,"93"
"6128",KEPULAUAN RIAU,KARIMUN,KUNDUR BARAT,"401"
"6129",LAMPUNG,TULANGBAWANG,BANJAR BARU,"79"
"6130",SULAWESI BARAT,MAMUJU UTARA,LARIANG,"50"
"6131",GORONTALO,BONE BOLANGO,BONE RAYA,"227"
"6132",PAPUA,MAMBERAMO TENGAH,KOBAKMA,"95"
"6133",SULAWESI TENGGARA,BUTON UTARA,KAMBOWA,"350"
"6134",JAWA TENGAH,KUDUS,DAWE,"70"
"6135",SUMATERA SELATAN,MUSI RAWAS,TUGUMULYO,"6"
"6137",ACEH,ACEH BARAT,ARONGAN LAMBALEK,"482"
"6138",MALUKU UTARA,HALMAHERA SELATAN,MANDIOLI UTARA,"97"
"6139",ACEH,ACEH SINGKIL,SINGKIL UTARA,"125"
"6140",SULAWESI SELATAN,MAROS,BANTIMURUNG,"112"
"6141",JAWA TENGAH,BANYUMAS,PURWOKERTO TIMUR,"341"
"6142",PAPUA,MAMBERAMO TENGAH,ILUGWA,"95"
"6143",KALIMANTAN BARAT,LANDAK,AIR BESAR,"75"
"6144",JAWA TENGAH,PURBALINGGA,PENGADEGAN,"47"
"6145",PAPUA,JAYAPURA,KEMTUK GRESI,"115"
"6146",GORONTALO,GORONTALO,DUMBO RAYA,"53"
"6147",DKI JAKARTA,JAKARTA TIMUR,CIRACAS,"128"
"6148",JAWA TENGAH,PEKALONGAN,WIRADESA,"309"
"6149",SUMATERA UTARA,NIAS SELATAN,TOMA,"77"
"6150",SUMATERA SELATAN,LUBUKLINGGAU,LUBUK LINGGAU BARAT I,"134"
"6151",SULAWESI UTARA,MINAHASA SELATAN,SULTA,"164"
"6152",BENGKULU,REJANG LEBONG,SINDANG KELINGI,"191"
"6153",KALIMANTAN TENGAH,SERUYAN,SERUYAN TENGAH,"348"
"6154",PAPUA BARAT,PEGUNUNGAN ARFAK,ANGGI GIDA,"261"
"6155",GORONTALO,GORONTALO,KOTA BARAT,"53"
"6156",BALI,DENPASAR,DENPASAR SELATAN,"173"
"6157",SUMATERA BARAT,TANAH DATAR,SALIMPAUNG,"301"
"6158",PAPUA,TOLIKARA,KANGGIME,"141"
"6159",BENGKULU,LEBONG,RIMBO PENGADANG,"271"
"6160",KALIMANTAN BARAT,SINGKAWANG,SINGKAWANG TIMUR,"24"
"6161",SULAWESI SELATAN,PANGKAJENE DAN KEPULAUAN,LIUKANG TUPABBIRING,"448"
"6162",DAERAH ISTIMEWA YOGYAKARTA,BANTUL,BANTUL,"192"
"6163",BANTEN,SERANG,TANARA,"198"
"6164",SUMATERA SELATAN,LAHAT,JARAI,"297"
"6165",JAWA TIMUR,TUBAN,SINGGAHAN,"113"
"6166",PAPUA,TOLIKARA,POGANERI,"141"
"6167",JAMBI,BUNGO,JUJUHAN,"86"
"6168",DAERAH ISTIMEWA YOGYAKARTA,GUNUNG KIDUL,SAPTO SARI,"307"
"6169",PAPUA,MIMIKA,MIMIKA TIMUR,"211"
"6170",JAMBI,MERANGIN,TABIR,"384"
"6171",ACEH,ACEH TENGAH,ATU LINTANG,"15"
"6172",ACEH,ACEH UTARA,NIBONG,"323"
"6173",KALIMANTAN BARAT,LANDAK,BANYUKE HULU,"75"
"6174",KALIMANTAN BARAT,KAPUAS HULU,PUTUSSIBAU SELATAN,"410"
"6175",SUMATERA UTARA,NIAS SELATAN,MAZINO,"77"
"6176",JAWA TENGAH,PEMALANG,ULUJAMI,"177"
"6177",MALUKU UTARA,HALMAHERA BARAT,IBU SELATAN,"71"
"6178",SULAWESI BARAT,POLEWALI MANDAR,B U L O,"408"
"6179",ACEH,ACEH TIMUR,JULOK,"486"
"6180",SULAWESI UTARA,BOLAANG MONGONDOW SELATAN,PINOLOSIAN TIMUR,"411"
"6181",KALIMANTAN BARAT,SAMBAS,SAJINGAN BESAR,"121"
"6182",KEPULAUAN RIAU,LINGGA,LINGGA UTARA,"377"
"6183",JAWA BARAT,CIREBON,SUSUKANLEBAK,"447"
"6184",PAPUA,PEGUNUNGAN BINTANG,OKBEMTA,"304"
"6185",JAWA BARAT,KARAWANG,TIRTAMULYA,"236"
"6186",PAPUA,BIAK NUMFOR,YENDIDORI,"229"
"6187",NUSA TENGGARA TIMUR,TIMOR TENGAH SELATAN,TOBU,"119"
"6188",JAWA TENGAH,KUDUS,UNDAAN,"70"
"6189",SUMATERA UTARA,DELI SERDANG,DELI TUA,"38"
"6190",DKI JAKARTA,JAKARTA TIMUR,CAKUNG,"128"
"6191",PAPUA BARAT,MAYBRAT,AITINYO UTARA,"51"
"6192",NUSA TENGGARA TIMUR,ROTE NDAO,ROTE BARAT DAYA,"480"
"6193",JAWA BARAT,BOGOR,KELAPA NUNGGAL,"69"
"6194",DAERAH ISTIMEWA YOGYAKARTA,YOGYAKARTA,KRATON,"279"
"6195",JAWA TENGAH,KEBUMEN,KUTOWINANGUN,"264"
"6196",JAWA TIMUR,TUBAN,MONTONG,"113"
"6197",JAWA TENGAH,BANJARNEGARA,MADUKARA,"380"
"6198",RIAU,INDRAGIRI HULU,PASIR PENYU,"5"
"6199",PAPUA,NABIRE,TELUK UMAR,"12"
"6200",JAWA TENGAH,PEKALONGAN,KARANGDADAP,"309"
"6202",JAWA BARAT,SUKABUMI,BOJONG GENTENG,"324"
"6204",JAWA TIMUR,LAMONGAN,DEKET,"94"
"6205",JAWA TIMUR,SIDOARJO,TAMAN,"357"
"6206",JAWA TENGAH,SEMARANG,NGALIYAN,"201"
"6537",JAWA TIMUR,BANGKALAN,KLAMPIS,"265"
"6207",SUMATERA UTARA,PADANG LAWAS,SOSOPAN,"349"
"6208",SUMATERA UTARA,KARO,TIGA BINANGA,"22"
"6209",JAWA TENGAH,BOYOLALI,SAWIT,"282"
"6210",KALIMANTAN TIMUR,PASER,TANJUNG HARAPAN,"249"
"6211",LAMPUNG,LAMPUNG SELATAN,PALAS,"428"
"6212",PAPUA,LANNY JAYA,TIOMNERI,"176"
"6213",JAWA TIMUR,PROBOLINGGO,KURIPAN,"466"
"6214",KALIMANTAN BARAT,SINTANG,KELAM PERMAI,"7"
"6215",JAWA TIMUR,NGAWI,PARON,"315"
"6216",JAWA BARAT,BANDUNG,PASIRJAMBU,"224"
"6217",JAWA TENGAH,TEMANGGUNG,KANDANGAN,"398"
"6218",JAWA TENGAH,KARANGANYAR,JENAWI,"268"
"6219",JAWA TIMUR,BANGKALAN,LABANG,"265"
"6220",JAWA TIMUR,LUMAJANG,JATIROTO,"391"
"6221",JAWA TIMUR,MALANG,GEDANGAN,"39"
"6222",NUSA TENGGARA BARAT,BIMA,LANGGUDU,"82"
"6223",SULAWESI SELATAN,BONE,ULAWENG,"248"
"6224",JAWA BARAT,CIAMIS,LUMBUNG,"440"
"6225",SUMATERA UTARA,DELI SERDANG,NAMO RAMBE,"38"
"6226",JAWA TIMUR,MAGETAN,SIDOREJO,"230"
"6227",JAWA BARAT,BEKASI,SUKAKARYA,"452"
"6228",JAWA TENGAH,TEMANGGUNG,TEMANGGUNG,"398"
"6229",KALIMANTAN BARAT,SAMBAS,TANGARAN,"121"
"6230",JAWA TENGAH,PEKALONGAN,SIWALAN,"309"
"6231",JAWA TIMUR,LUMAJANG,PRONOJIWO,"391"
"6232",DAERAH ISTIMEWA YOGYAKARTA,GUNUNG KIDUL,NGAWEN,"307"
"6233",NUSA TENGGARA TIMUR,TIMOR TENGAH SELATAN,AMANUBAN TENGAH,"119"
"6234",SULAWESI SELATAN,TANA TORAJA,REMBON,"239"
"6235",KALIMANTAN SELATAN,KOTA BARU,PULAU SEMBILAN,"373"
"6236",JAMBI,JAMBI,DANAU TELUK,"275"
"6237",KALIMANTAN TENGAH,KOTAWARINGIN TIMUR,MENTAYA HILIR SELATAN,"34"
"6238",SUMATERA SELATAN,OGAN KOMERING ILIR,LEMPUING,"238"
"6239",JAWA BARAT,DEPOK,BEJI,"233"
"6240",JAWA BARAT,BANDUNG,CIBIRU,"224"
"6241",KEPULAUAN RIAU,KEPULAUAN ANAMBAS,JEMAJA,"241"
"6242",PAPUA BARAT,TELUK BINTUNI,TEMBUNI,"346"
"6243",DAERAH ISTIMEWA YOGYAKARTA,KULON PROGO,GALUR,"365"
"6244",GORONTALO,POHUWATO,POPAYATO BARAT,"317"
"6245",SULAWESI SELATAN,ENREKANG,ALLA,"140"
"6246",JAWA TENGAH,KEBUMEN,SRUWENG,"264"
"6247",RIAU,INDRAGIRI HULU,PERANAP,"5"
"6248",SULAWESI SELATAN,LUWU,LATIMOJONG,"292"
"6249",BENGKULU,KAUR,TANJUNG KEMUNING,"436"
"6250",SUMATERA UTARA,SIMALUNGUN,TANAH JAWA,"258"
"6251",ACEH,PIDIE,SAKTI,"273"
"6252",SUMATERA UTARA,PADANG LAWAS UTARA,HALONGONAN,"269"
"6253",NUSA TENGGARA TIMUR,TIMOR TENGAH UTARA,NAIBENU,"96"
"6254",KALIMANTAN UTARA,MALINAU,PUJUNGAN,"342"
"6255",ACEH,BIREUEN,PANDRAH,"194"
"6256",SULAWESI TENGAH,SIGI,SIGI BIROMARU,"81"
"6257",JAWA TIMUR,PONOROGO,BUNGKAL,"18"
"6258",JAWA TENGAH,BANJARNEGARA,BAWANG,"380"
"6259",JAWA TIMUR,PASURUAN,WINONGAN,"183"
"6260",JAWA TIMUR,LAMONGAN,SARIREJO,"94"
"6261",PAPUA,ASMAT,JOERAT,"413"
"6262",PAPUA BARAT,SORONG,SORONG KEPULAUAN,"55"
"6263",PAPUA BARAT,RAJA AMPAT,BATANTA SELATAN,"319"
"6264",PAPUA BARAT,RAJA AMPAT,MISOOL BARAT,"319"
"6265",JAWA BARAT,PANGANDARAN,KALIPUCANG,"180"
"6266",SULAWESI SELATAN,TANA TORAJA,MAPPAK,"239"
"6267",BENGKULU,BENGKULU UTARA,PADANG JAYA,"225"
"6268",BANTEN,CILEGON,PULOMERAK,"488"
"6269",JAMBI,MUARO JAMBI,JAMBI LUAR KOTA,"8"
"6270",SULAWESI SELATAN,PANGKAJENE DAN KEPULAUAN,MINASATENE,"448"
"6271",RIAU,KEPULAUAN MERANTI,TEBING TINGGI TIMUR,"102"
"6272",PAPUA,PEGUNUNGAN BINTANG,MOFINOP,"304"
"6273",JAWA TIMUR,TUBAN,SEMANDING,"113"
"6274",SULAWESI UTARA,BOLAANG MONGONDOW UTARA,KAIDIPANG,"167"
"6275",JAWA TENGAH,PEMALANG,BANTARBOLANG,"177"
"6276",BANTEN,TANGERANG SELATAN,SERPONG,"137"
"6277",KALIMANTAN BARAT,BENGKAYANG,LEDO,"353"
"6278",SUMATERA BARAT,PADANG PARIAMAN,NAN SABARIS,"270"
"6279",JAWA TIMUR,BATU,BATU,"124"
"6280",MALUKU UTARA,HALMAHERA TENGAH,WEDA SELATAN,"237"
"6281",NUSA TENGGARA TIMUR,MANGGARAI BARAT,BOLENG,"430"
"6282",JAWA TIMUR,SAMPANG,JRENGIK,"343"
"6283",PAPUA BARAT,RAJA AMPAT,MEOS MANSAR,"319"
"6284",JAWA TIMUR,BOJONEGORO,KEDEWAN,"223"
"6285",JAWA BARAT,BOGOR,CIBUNGBULANG,"69"
"6286",LAMPUNG,TANGGAMUS,BULOK,"496"
"6287",JAWA BARAT,DEPOK,LIMO,"233"
"6288",SULAWESI BARAT,POLEWALI MANDAR,TINAMBUNG,"408"
"6289",SUMATERA UTARA,TAPANULI TENGAH,BARUS,"84"
"6290",JAWA TENGAH,WONOSOBO,WONOSOBO,"415"
"6291",JAWA TENGAH,KLATEN,KLATEN TENGAH,"465"
"6292",PAPUA,PEGUNUNGAN BINTANG,KAWOR,"304"
"6293",JAWA TENGAH,PEKALONGAN,TIRTO,"309"
"6294",BANTEN,SERANG,BANDUNG,"198"
"6295",SULAWESI UTARA,MINAHASA,KAKAS BARAT,"358"
"6296",JAWA TIMUR,PASURUAN,GADINGREJO,"183"
"6297",KALIMANTAN TIMUR,MAHAKAM HULU,LONG PAHANGAI,"142"
"6298",JAWA TENGAH,PURBALINGGA,MREBET,"47"
"6299",JAWA BARAT,BANDUNG,BANDUNG KIDUL,"224"
"6300",GORONTALO,GORONTALO,TELAGA BIRU,"53"
"6301",JAWA TIMUR,MAGETAN,PONCOL,"230"
"6302",KALIMANTAN SELATAN,BARITO KUALA,KURIPAN,"255"
"6303",JAWA TENGAH,KUDUS,KOTA KUDUS,"70"
"6304",LAMPUNG,LAMPUNG UTARA,ABUNG TINGGI,"240"
"35",KALIMANTAN TENGAH,MURUNG RAYA,TANAH SIANG,"378"
"36",JAWA BARAT,BOGOR,BOJONG GEDE,"69"
"37",NUSA TENGGARA BARAT,LOMBOK TIMUR,PRINGGABAYA,"193"
"38",SUMATERA UTARA,NIAS,ULUGAWO,"479"
"6305",MALUKU UTARA,TERNATE,TERNATE UTARA,"417"
"6306",SULAWESI UTARA,MINAHASA,TONDANO BARAT,"358"
"6307",BENGKULU,LEBONG,LEBONG SELATAN,"271"
"6309",SUMATERA SELATAN,OGAN KOMERING ULU SELATAN,BUAY PEMACA,"470"
"6415",KALIMANTAN UTARA,BULUNGAN,PESO,"370"
"6310",JAWA TENGAH,SEMARANG,SEMARANG TIMUR,"201"
"6311",SULAWESI TENGAH,SIGI,KINOVARO,"81"
"6312",JAWA TIMUR,NGAWI,KENDAL,"315"
"6313",ACEH,LHOKSEUMAWE,MUARA SATU,"450"
"6314",JAWA BARAT,BOGOR,PAMIJAHAN,"69"
"6315",MALUKU UTARA,HALMAHERA SELATAN,OBI SELATAN,"97"
"6316",SULAWESI BARAT,MAMASA,ARALLE,"288"
"6317",KALIMANTAN SELATAN,TANAH BUMBU,MANTEWE,"31"
"6318",KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,GANTUNG,"485"
"6319",LAMPUNG,LAMPUNG SELATAN,JATI AGUNG,"428"
"6320",SUMATERA SELATAN,OGAN KOMERING ULU TIMUR,SEMENDAWAI BARAT,"339"
"6321",KALIMANTAN SELATAN,HULU SUNGAI UTARA,DANAU PANGGANG,"90"
"6322",ACEH,NAGAN RAYA,DARUL MAKMUR,"431"
"6323",JAWA TIMUR,SAMPANG,SOKOBANAH,"343"
"6324",JAWA TENGAH,SUKOHARJO,NGUTER,"203"
"6325",JAWA TENGAH,GROBOGAN,PENAWANGAN,"368"
"6326",NUSA TENGGARA BARAT,DOMPU,DOMPU,"445"
"6327",KEPULAUAN BANGKA BELITUNG,BANGKA,MENDO BARAT,"404"
"6328",JAWA TIMUR,TUBAN,KENDURUAN,"113"
"6633",RIAU,S I A K,MINAS,"42"
"6329",ACEH,ACEH TIMUR,PEUREULAK,"486"
"6330",BENGKULU,KAUR,NASAL,"436"
"6331",KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,MENTOK,"332"
"6332",SULAWESI TENGGARA,KONAWE SELATAN,TINANGGEA,"28"
"6333",BALI,GIANYAR,TAMPAKSIRING,"218"
"6334",KALIMANTAN TENGAH,KAPUAS,MANDAU TALAWANG,"334"
"6335",KALIMANTAN TIMUR,BERAU,TALISAYAN,"58"
"6336",NUSA TENGGARA TIMUR,MALAKA,WELIMAN,"35"
"6337",JAWA BARAT,KUNINGAN,CILIMUS,"14"
"6338",KALIMANTAN SELATAN,BARITO KUALA,TABUKAN,"255"
"6339",SULAWESI SELATAN,WAJO,PAMMANA,"130"
"6340",BALI,TABANAN,SELEMADEG,"361"
"6341",PAPUA BARAT,RAJA AMPAT,SALAWATI BARAT,"319"
"6342",SUMATERA SELATAN,OGAN KOMERING ULU SELATAN,BUANA PEMACA,"470"
"6343",SUMATERA SELATAN,PRABUMULIH,RAMBANG KAPAK TENGAH,"222"
"6344",SULAWESI TENGAH,BANGGAI,LUWUK SELATAN,"386"
"6345",JAWA TENGAH,BATANG,BAWANG,"196"
"6346",LAMPUNG,LAMPUNG TIMUR,MELINTING,"144"
"6347",SULAWESI TENGAH,TOLI-TOLI,DAMPAL SELATAN,"245"
"6348",SULAWESI TENGAH,BANGGAI,NUHON,"386"
"6349",JAWA TENGAH,BLORA,KOTA BLORA,"295"
"6350",NUSA TENGGARA TIMUR,NGADA,BAJAWA UTARA,"407"
"6351",KALIMANTAN BARAT,BENGKAYANG,MONTERADO,"353"
"6352",NUSA TENGGARA TIMUR,ENDE,MAUKARO,"419"
"6353",PAPUA,JAYAWIJAYA,TAGIME,"181"
"6354",SUMATERA UTARA,DELI SERDANG,PANTAI LABU,"38"
"6355",JAWA TIMUR,MALANG,TUMPANG,"39"
"6356",LAMPUNG,TULANG BAWANG BARAT,TULANG BAWANG TENGAH,"478"
"6357",JAWA BARAT,BANDUNG,NAGREG,"224"
"6358",SULAWESI TENGAH,MOROWALI,MENUI KEPULAUAN,"281"
"6359",KALIMANTAN TENGAH,KATINGAN,KATINGAN HULU,"381"
"6360",JAWA TENGAH,PURBALINGGA,KERTANEGARA,"47"
"6361",KALIMANTAN TIMUR,KUTAI BARAT,BONGAN,"285"
"6362",SUMATERA UTARA,NIAS SELATAN,ARAMO,"77"
"6363",JAWA BARAT,TASIKMALAYA,BUNGURSARI,"395"
"6364",JAWA TIMUR,NGAWI,JOGOROGO,"315"
"6365",SUMATERA UTARA,GUNUNGSITOLI,GUNUNGSITOLI ALO OA,"215"
"6366",KALIMANTAN TENGAH,BARITO UTARA,TEWEH TENGAH,"101"
"6367",JAWA TIMUR,MAGETAN,NGUNTORONADI,"230"
"6368",SULAWESI TENGAH,BUOL,KARAMAT,"45"
"6369",LAMPUNG,PRINGSEWU,SUKOHARJO,"421"
"6370",KALIMANTAN SELATAN,HULU SUNGAI SELATAN,PADANG BATUNG,"108"
"6371",SUMATERA UTARA,TAPANULI SELATAN,ARSE,"166"
"6372",JAWA BARAT,BEKASI,SERANG BARU,"452"
"6373",KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,SIMPANG KATIS,"11"
"6374",PAPUA,KEPULAUAN YAPEN,YAPEN TIMUR,"296"
"6375",BENGKULU,BENGKULU TENGAH,PEMATANG TIGA,"190"
