"id","provinsi","kabupaten","kecamatan","id_kabupaten"
"216",SULAWESI TENGGARA,BOMBANA,KABAENA,"92"
"217",NUSA TENGGARA BARAT,SUMBAWA BARAT,POTO TANO,"441"
"218",LAMPUNG,PESISIR BARAT,PULAU PISANG,"205"
"219",BALI,BULELENG,SUKASADA,"19"
"220",SULAWESI SELATAN,TANA TORAJA,GANDANG BATU SILANAN,"239"
"221",JAWA TIMUR,JEMBER,AMBULU,"26"
"222",JAWA BARAT,INDRAMAYU,INDRAMAYU,"293"
"223",SUMATERA UTARA,TAPANULI TENGAH,SOSOR GADONG,"84"
"224",NUSA TENGGARA TIMUR,SABU RAIJUA,SABU BARAT,"146"
"225",SUMATERA BARAT,KEPULAUAN MENTAWAI,SIPORA UTARA,"106"
"226",JAWA TIMUR,PASURUAN,LUMBANG,"183"
"227",JAWA TIMUR,SUMENEP,NONGGUNONG,"244"
"228",SUMATERA UTARA,ASAHAN,KISARAN TIMUR,"409"
"229",DAERAH ISTIMEWA YOGYAKARTA,SLEMAN,BERBAH,"483"
"230",KALIMANTAN SELATAN,TAPIN,PIANI,"367"
"231",JAWA TENGAH,BANYUMAS,PURWOJATI,"341"
"232",JAWA TIMUR,BLITAR,UDANAWU,"234"
"233",NUSA TENGGARA BARAT,DOMPU,PAJO,"445"
"234",JAWA TIMUR,SURABAYA,KREMBANGAN,"475"
"235",JAMBI,BATANG HARI,MARO SEBO ILIR,"327"
"236",KEPULAUAN RIAU,LINGGA,LINGGA TIMUR,"377"
"237",SULAWESI UTARA,MINAHASA,TOMBARIRI,"358"
"238",KALIMANTAN TENGAH,BARITO TIMUR,BENUA LIMA,"305"
"239",JAWA BARAT,BEKASI,MEDAN SATRIA,"452"
"240",RIAU,PELALAWAN,PANGKALAN LESUNG,"494"
"241",SULAWESI TENGAH,BUOL,PALELEH,"45"
"242",DAERAH ISTIMEWA YOGYAKARTA,SLEMAN,GODEAN,"483"
"243",BENGKULU,SELUMA,AIR PERIUKAN,"63"
"244",ACEH,BIREUEN,PEUSANGAN SIBLAH KRUENG,"194"
"245",JAWA TIMUR,SITUBONDO,BUNGATAN,"360"
"246",SULAWESI TENGAH,BANGGAI KEPULAUAN,TOTIKUM SELATAN,"226"
"247",KEPULAUAN RIAU,NATUNA,PULAU TIGA BARAT,"400"
"248",KALIMANTAN BARAT,SINGKAWANG,SINGKAWANG SELATAN,"24"
"249",DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,"29"
"250",JAWA TENGAH,BREBES,BUMIAYU,"107"
"251",JAWA TENGAH,BANYUMAS,CILONGOK,"341"
"252",SUMATERA UTARA,TAPANULI TENGAH,TUKKA,"84"
"253",JAWA BARAT,MAJALENGKA,BANTARUJEG,"219"
"254",SULAWESI UTARA,BOLAANG MONGONDOW SELATAN,HELUMO,"411"
"255",MALUKU,SERAM BAGIAN TIMUR,WAKATE,"277"
"256",JAMBI,BUNGO,BATHIN II BABEKO,"86"
"257",JAWA TIMUR,SAMPANG,BANYUATES,"343"
"258",JAWA TIMUR,BOJONEGORO,PERAIRAN,"223"
"259",JAWA BARAT,PANGANDARAN,PANGANDARAN,"180"
"260",DAERAH ISTIMEWA YOGYAKARTA,SLEMAN,TEMPEL,"483"
"261",SUMATERA BARAT,KEPULAUAN MENTAWAI,SIBERUT TENGAH,"106"
"262",LAMPUNG,LAMPUNG TIMUR,LABUHAN MARINGGAI,"144"
"263",KALIMANTAN TENGAH,SERUYAN,SERUYAN HULU,"348"
"264",JAWA TENGAH,SEMARANG,BANYUBIRU,"201"
"265",KALIMANTAN TIMUR,PASER,KUARO,"249"
"266",SULAWESI UTARA,KEPULAUAN TALAUD,MELONGUANE,"162"
"267",SUMATERA UTARA,KARO,MUNTE,"22"
"268",JAWA TIMUR,MADIUN,WUNGU,"284"
"269",SUMATERA UTARA,ASAHAN,TINGGI RAJA,"409"
"271",PAPUA,PANIAI,DUMADAMA,"122"
"272",SUMATERA UTARA,LABUHAN BATU UTARA,NA IX-X,"427"
"273",KALIMANTAN TIMUR,KUTAI KARTANEGARA,MUARA MUNTAI,"212"
"274",JAWA BARAT,BANDUNG,KERTASARI,"224"
"275",JAWA BARAT,CIREBON,GEGESIK,"447"
"276",JAWA TENGAH,MAGELANG,SRUMBUNG,"318"
"277",JAWA BARAT,CIREBON,GREGED,"447"
"278",SUMATERA UTARA,ASAHAN,TANJUNG BALAI,"409"
"279",SUMATERA BARAT,PASAMAN BARAT,RANAH BATAHAN,"362"
"280",SUMATERA UTARA,LABUHAN BATU UTARA,MARBAU,"427"
"281",JAWA BARAT,SUKABUMI,PABUARAN,"324"
"282",PAPUA BARAT,MAYBRAT,AIFAT,"51"
"283",JAWA TENGAH,MAGELANG,GRABAG,"318"
"284",ACEH,ACEH JAYA,TEUNOM,"374"
"285",KALIMANTAN BARAT,KAPUAS HULU,BADAU,"410"
